;10.15 - 11.50;1;;;;;;;Профессионально-ориентированный иностранный язык;;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;;;;;Методы оптимизации;Методы оптимизации;;;;;;Математическое моделирование в задачах информационной безопасности;Математическое моделирование в задачах информационной безопасности;;;;;;;;Инструментальные средства разработки ИС;Инструментальные средства разработки ИС;;
;;;;;;;;;Лабушева Т.М.;;;;;;;;;;;;;;;;Тынченко В.В.;Тынченко В.В.;;;;;;Кириллова С.В.;Кириллова С.В.;;;;;;;;Кустов Д.В.;Кустов Д.В.;;
;;;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;асинхронно;асинхронно;асинхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно
;;2;Теория управления;Теория управления;Профессионально-ориентированный иностранный язык;Профессионально-ориентированный иностранный язык;Системное программное обеспечение;Системное программное обеспечение;Методы и системы принятия решений;Методы и системы принятия решений;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;Теория автоматов, языков и вычислений;Теория автоматов, языков и вычислений;Серверное программирование;Серверное программирование;;;Уравнения математической физики;Теория функций комплексного переменного;Теория функций комплексного переменного;Теория функций комплексного переменного;Теория функций комплексного переменного;Английский язык для профессиональных целей;Английский язык для профессиональных целей;Методы машинного обучения;Методы машинного обучения;Элементы и устройства автоматики;Элементы и устройства автоматики;Элементы и устройства автоматики;Мобильные приложения;Мобильные приложения;Методы оптимизации;Методы оптимизации;Теория алгоритмов;Теория алгоритмов
;;;Кривова Д.Д.;Кривова Д.Д.;Романовская А.А.;Шарова А.В.;Тарасов С.А.;Тарасов С.А.;Доррер Г.А.;Доррер Г.А.;;;;;;;;;;;Личаргин Д.В.;Личаргин Д.В.;Погребников А.К.;Погребников А.К.;;;Рыжков И.И.;Кочеткова Т.О.;Кочеткова Т.О.;Кочеткова Т.О.;Кочеткова Т.О.;Гордеева А.Т.;Слепченко Н.Н.;Чубарова О.В.;Чубарова О.В.;Авласко П.В.;Авласко П.В.;Авласко П.В.;Чудакин И.А.;Чудакин И.А.;Медведева М.И.;Медведева М.И.;Халтурин Е.А.;Халтурин Е.А.
;;;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;;;;;;;;;;;пр. занятие;пр. занятие;пр. занятие;пр. занятие;;;лекция;лекция;лекция;лекция;лекция;пр. занятие;пр. занятие;пр. занятие;пр. занятие;лекция;лекция;лекция;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие
;;;Корпус №17;Корпус №17;ЭИОС;ЭИОС;Корпус №17;Корпус №17;Корпус №17;Корпус №17;;;;;;;;;;;Корпус №17;Корпус №17;Корпус №17;Корпус №17;;;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;ЭИОС;ЭИОС;ЭИОС;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17
;;;4-01;4-01;https://e.sfu-kras.ru/course/view.php?id=7560;https://e.sfu-kras.ru/course/view.php?id=7560;4-20;4-20;4-13;4-13;;;;;;;;;;;4-11;4-11;4-21;4-21;;;1-18;5-01;5-01;5-01;5-01;2-01;2-02;4-07;4-07;https://e.sfu-kras.ru/course/view.php?id=1199;https://e.sfu-kras.ru/course/view.php?id=1199;https://e.sfu-kras.ru/course/view.php?id=1199;4-23;4-23;4-10;4-10;4-17;4-17
;;;синхронно;синхронно;асинхронно;асинхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;;;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;асинхронно;асинхронно;асинхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно
;17.40 - 19.15;1;Методы и системы принятия решений;Методы и системы принятия решений;;;;Профессионально-ориентированный иностранный язык;;Профессионально-ориентированный иностранный язык;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;Профессионально-ориентированный иностранный язык;;Теория автоматов, языков и вычислений;Теория автоматов, языков и вычислений;;;Уравнения математической физики;Аппаратные средства вычислительной техники;Аппаратные средства вычислительной техники;;;;;Теория автоматического управления;Теория автоматического управления;Системы управления жизненным циклом продукции;Системы управления жизненным циклом продукции;Экономика и управление производством;;;;;Методы оптимизации;Методы оптимизации
;;;Доррер Г.А.;Доррер Г.А.;;;;Шарова А.В.;;Романовская А.А.;;;;;;;;;;;Слепченко Н.Н.;;Личаргин Д.В.;Личаргин Д.В.;;;Рыжков И.И.;Середкин В.Г.;Середкин В.Г.;;;;;Вакансия;Вакансия;Солопко И.В.;Солопко И.В.;Авласко З.А.;;;;;Медведева М.И.;Медведева М.И.
;;;пр. занятие;пр. занятие;;;;пр. занятие;;пр. занятие;;;;;;;;;;;пр. занятие;;пр. занятие;пр. занятие;;;пр. занятие;лаб. работа;лаб. работа;;;;;пр. занятие;пр. занятие;лекция;лекция;лекция;;;;;пр. занятие;пр. занятие
